EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-05100692	CIL 05, 05539 = ArsagoSeprio 00013	Transpadana / Regio XI	Arsago Seprio / Sibrium	101	200	tituli sacri	] / Primu/lus Ad/iutoris / filius / cum suis / v(otum) s(olvit) l(ibens) m(erito)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p597;N124574;CO0125008 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0125008 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR124574&partId=1	45.6881584	8.7314516			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ArsagoSeprio_00013.jpg
EDCS-05100693	CIL 05, 05540 = ArsagoSeprio 00023	Transpadana / Regio XI	Arsago Seprio / Sibrium	101	200	liberti/libertae; tituli sacri	]mus Trionis l(ibertus) / Caesernia / [3]na uxor / [v(otum) s(olverunt)] l(ibentes) m(erito)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p597;N124575;CO0125012 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0125012 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR124575&partId=1	45.6881584	8.7314516			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ArsagoSeprio_00023.jpg
EDCS-05100694	CIL 05, 05541 = ArsagoSeprio 00015 = AE 2014, +00513	Transpadana / Regio XI	Arsago Seprio / Sibrium	101	200		C(aius) Gemelli/us Tertius / [p]ontif(ex) nom(ine) su[o] / [et] Gemell[i] / [			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p597;N124576;CO0125009 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0125009 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR124576&partId=1	45.6881584	8.7314516			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ArsagoSeprio_00015.jpg
EDCS-05100695	CIL 05, 05542 = ArsagoSeprio 00016	Transpadana / Regio XI	Arsago Seprio / Sibrium	101	200	mulieres; viri	Calvisiae / Virianae / T(itus) Primus Apro/nianus coniugi			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p597;N124577;CO0125010 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0125010 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR124577&partId=1	45.6881584	8.7314516			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ArsagoSeprio_00016.jpg
EDCS-29601727	MiliariXIRegio 00056	Transpadana / Regio XI	Arsago Seprio / Sibrium			Augusti/Augustae; miliaria	?	lapis			45.6881584	8.7314516			
EDCS-29601728	MiliariXIRegio 00057	Transpadana / Regio XI	Arsago Seprio / Sibrium			Augusti/Augustae; miliaria	?	lapis			45.6881584	8.7314516			
EDCS-71300060	RAComo-2014-74 = AE 2014, 00515	Transpadana / Regio XI	Arsago Seprio / Sibrium	1	100	nomen singulare; viri	Anno				45.6881584	8.7314516			
EDCS-29601724	MiliariXIRegio 00053	Transpadana / Regio XI	Asigliano Vercellese			Augusti/Augustae; miliaria	?	lapis			45.2615784	8.4085008			
EDCS-05100370	CIL 05, 05217	Transpadana / Regio XI	Assi				B Iovi / M L L A			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p560;N010208 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR010208&partId=1					
EDCS-05100369	CIL 05, 05216 = Hiberia p 316,02	Transpadana / Regio XI	Asso	101	200	tituli sacri; tria nomina; viri	Genio Asc(i) / P(ublius) Plinius / Burrus et / P(ublius) Plinius / Paternu[s]			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N163935;cil05_p560 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR163935&partId=1	45.8606694	9.2697487			
EDCS-06700044	Pais 00925 = InscrIt-11-01, 00118 = IAugPraetoria 00075 = VetChr-2015-177 = EpRom 2015_11_010 = ICI-17, 00007 = AE 2016, 00612 = SupIt-31, p 325	Transpadana / Regio XI	Aymavilles	301	600	inscriptiones christianae; nomen singulare; tituli sepulcrales; viri	Eb(reo) Iusto	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=er_4021;N169824 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR169824&partId=1	45.7017361	7.2476561			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Pais_00925.jpg;pp
