EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-14804495	CIL 09, 03471 (p 1610)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; nomen singulare; servi/servae; tituli sepulcrales; tria nomina; viri	Iucundo Cae/senae Vesti/nae servo / Caesiena / Primigenia / coniugi be/ne merenti / et sibi / p(osuit)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p451	42.277935	13.608297			
EDCS-14804496	CIL 09, 03472	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum			mulieres; tituli sepulcrales; viri	D(is) M(anibus) s(acrum) / Iustinus Quar/tae coniugi sae ca/rissimae bene me/[renti 3] / [6]/on(a)e nepoti / q(uae) vixit an(nos) XXI / m(enses) IIII d(ies) VII			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p451	42.277935	13.608297			
EDCS-14804497	CIL 09, 03473 (p 1610) = CLE +00186 = CLERegio-IV 00049	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum			carmina; nomen singulare; tituli operum; tituli sepulcrales; viri	D(is) M(anibus) s(acrum) / Maximus et Lasciv(u)s / duo fratres conve/nientes in uno hunc / titulum nobis posu/imus vivis ut posse/mus a superos secu/rius vitam bonam ger(e)/re qua fini fata vole/bant qui qua vita vi/ximus una numquam / inter nos fecimus ver/bum amarum volup/tates secuti smus / omnes vitae nostr(a)e / a nobis numquam qui/quam negatum est i/[t]a tu qui legis bona / vita vive sodalis / quare post obitum / nec risus nec lusus / [n]ec ulla voluptas / erit {h}ae Maxim{a}e / (!) mente{n} habe quod legeris quare vita / morti propior fit cot{t}idi{a}e vale	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p451;CO0083376 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083376	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008544
EDCS-14804498	CIL 09, 03474 (p 1611)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; nomen singulare; tituli sepulcrales; viri	D(is) M(anibus) / Maximo et / Primill(a)e / Maximo fili[o] / Quartus et / Montana et / Peloris	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p451;N168624 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR168624&partId=1	42.277935	13.608297			
EDCS-14804499	CIL 09, 03475 (p 1611)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	1	100	mulieres; nomen singulare; tituli sepulcrales; tria nomina	Ner{a}eidi / v(ixit) a(nnos) XV / Vettiedia Prim()	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p451;CO0083377 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083377	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008545
EDCS-14804500	CIL 09, 03476 (p 1611) = CIL 12, *00261g	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) s(acrum) / C(ai) Noni / Lupilli et / C(ai) Noni / Vestini / C(aius) Nonius / Saturninus / et [3] / Lupilla fil(iis) / pientissimis / et b(ene) m(erentibus) / p(osuerunt)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p452	42.277935	13.608297			
EDCS-14804501	CIL 09, 03477 (p 1611)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	201	300	mulieres; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) s(acrum) / L(ucio) Nonio / L(uci) f(ilio) Quir(ina) / Nigro L(ucius) / Nonius L(uci) [f(ilius)] / Vestinus / et Faesasi[a] / Bassilla / infelicis/simi pare/ntes f(ilio) dul/cissimo q(ui) v(ixit) / a(nnos) VI m(enses) III d(ies) II / h(eredes) VI p(osuerunt)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p452;CO0083378 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083378	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008546;PH0008547;PH0008548
EDCS-14804502	CIL 09, 03478 (p 1611)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	131	170	liberti/libertae; mulieres; nomen singulare; tituli sepulcrales; tria nomina; viri	Viro / Novelled[iae] / Primigen[iae] / Novelledia / patronis optim[e de se] / merentibus et s[ibi] / s(it) v(obis) t(erra) l(evis)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p452;CO0083379 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083379	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008549
EDCS-14804504	CIL 09, 03480 (p 1611)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	201	300	mulieres; nomen singulare; tituli sepulcrales; tria nomina; viri	M(arco) Peticio Primo b(ene) m(erenti) / Primus et (h)aritine / [p]arentes p(osuerunt)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p452;CO0083381 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083381	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008553
EDCS-14804505	CIL 09, 03481 (p 1612)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	-70	-31	tituli sepulcrales	]O[3] / [Phi]lodam[3] / [ex t]estam[ento	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p452;CO0083382 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083382	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008554
EDCS-14804506	CIL 09, 03482 (p 1612)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum			mulieres; tituli sepulcrales	]TLSLICV / Plecusa M[	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p452	42.277935	13.608297			
EDCS-14804507	CIL 09, 03483 (p 1612)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum			mulieres; nomen singulare; tituli sepulcrales; viri	Quarti[oni] / Quintia[na] / matert[era 3] / puero L[3] / aedi[	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p452	42.277935	13.608297			
